BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,Location,SteamUse %,Electricity %,NaturalGas %,total other type %,location_type
NonResidential,Hotel,12.0,88434,60.0,7226362.5,249.98,89,Oliveway,0.277301616131214,0.546059929874816,0.1766383848028659,6.919110417946683e-08,city_center
NonResidential,Hotel,41.0,759392,43.0,72587024.0,2089.28,47,5thAvenue,0.29711307629859574,0.6823074052464253,0.020579435795576907,8.265940210083755e-08,city_center
NonResidential,Hotel,10.0,61320,56.0,6794584.0,286.43,90,STEWARTST,0.32591344076399675,0.40751928300540546,0.2665671658485641,1.1038203362456755e-07,city_center
NonResidential,Hotel,18.0,113580,75.0,14172606.0,505.01,36,LENORAST,0.0,0.3788016826263286,0.6211982468150177,7.055865380856119e-08,city_center
NonResidential,Other,8.0,102761,,6298131.5,221.51,90,PineSt,0.36142251078752485,0.5774180802671396,0.061159250168085565,1.5877725001445242e-07,city_center
NonResidential,Hotel,15.0,163984,43.0,13723820.0,392.16,112,2ndAve,0.0,0.5317702359838588,0.4682296911501317,7.286600955946909e-08,city_center
NonResidential,Hotel,11.0,133884,30.0,16016644.0,691.26,47,4thAvenue,0.32698269999632884,0.386324813113159,0.2866923932379342,9.365257791493775e-08,city_center
NonResidential,Hotel,25.0,272015,36.0,26941110.0,740.97,18,FourthAvenue,0.22268423609866111,0.6712065315794338,0.10610921376290731,1.8558997783024722e-08,city_center
NonResidential,Hotel,33.0,258352,58.0,22325364.0,648.62,36,6thAve,0.19429642894064347,0.6227975946999117,0.18290586437918774,1.1198025706704584e-07,city_center
NonResidential,Hotel,11.0,66990,35.0,10750010.0,511.39,94,5thAvenue,0.4531016715333288,0.3564991102333858,0.19039917172170073,4.651158469481942e-08,city_center
Nonresidential COS,Other,11.0,355000,,18588860.0,181.38,12,FourthAvenue,0.0396775003953981,0.9603223113197904,0.0,1.8828481151977883e-07,city_center
NonResidential,Other,6.0,103911,,9956396.0,433.86,86,4thAvenue,0.4612459669141324,0.44733736986757056,0.09141661299932224,5.02189748674553e-08,city_center
NonResidential,Hotel,28.0,331281,31.0,33556756.0,802.89,33,MadisonStreet,0.0,0.6325187392964922,0.3674811415024742,1.1920103371032553e-07,city_center
NonResidential,Mixed Use Property,5.0,57452,,7606084.5,273.02,109,4thAve.,0.23352381570307298,0.4949709669935957,0.2715051351322747,8.217105662566837e-08,city_center
NonResidential,Hotel,10.0,104352,39.0,10154608.0,349.32,100,3rdAve,0.33786257431109107,0.5818412685157319,0.08029615717317695,1.1102230246251565e-16,city_center
NonResidential,Other,10.0,540360,76.0,44984468.0,1265.29,100,3RDAVE,0.0,0.5414720698708719,0.45852784120954815,8.891957992140931e-08,city_center
NonResidential,Other,19.0,385274,,47859812.0,1699.45,31,5THAVE,0.0,0.3814820877273818,0.6185178913782612,2.0894357022349652e-08,city_center
SPS-District K-12,K-12 School,2.0,56228,95.0,1539478.5,38.53,55,S.GrahamSt.,0.0,0.608618437997023,0.3913812372176682,3.2478530886947965e-07,south
NonResidential,Hotel,6.0,58006,84.0,3663534.5,90.01,15,ROOSEVELTWAYNE,0.0,0.6185914176596399,0.3814084458601386,1.364802215686467e-07,north
NonResidential,University,7.0,126593,,11343686.0,388.04,88,LenoraSt.,0.0,0.40969698914444563,0.590302922700787,8.815476737478178e-08,city_center
NonResidential,Other,2.0,67224,,1310236.625,9.13,86,&1017OliveWay,0.0,0.9999995229869261,0.0,4.770130739295553e-07,city_center
NonResidential,Hotel,5.0,52210,57.0,4456714.5,128.44,38,5thave,0.0,0.5264750524180986,0.4735248353916321,1.1219026929687459e-07,city_center
NonResidential,Small- and Mid-Sized Office,3.0,87262,,4145920.5,157.77,110,SunnysideAve.N.,0.0,0.3263070288009623,0.6736928505985583,1.2060047938078355e-07,north
NonResidential,Hotel,4.0,81871,29.0,6668568.5,215.0,22,25thAveNE,0.0,0.45233081132779845,0.5476691136935911,7.497861043148646e-08,north
Campus,Mixed Use Property,3.0,494835,8.0,448385312.0,16870.98,24,EMARGINALWAYS,0.0,0.3355959238022498,0.6644040115212337,6.467651647579231e-08,south
SPS-District K-12,K-12 School,2.0,54986,97.0,1650279.25,31.47,26,27thAve.W.,0.0,0.7378078588820649,0.262191989628422,1.5148951315602233e-07,north
SPS-District K-12,K-12 School,2.0,175565,88.0,6399127.5,266.05,66,N.E.75thSt.,0.0,0.24998470494610397,0.7500152169182439,7.813565217063001e-08,north
NonResidential,Small- and Mid-Sized Office,2.0,94900,57.0,6186461.5,130.56,55,ShilsholeAveNW,0.0,0.6937059254308784,0.30629399374747585,8.082164582035034e-08,north
NonResidential,Small- and Mid-Sized Office,2.0,52554,83.0,2951331.25,83.86,116,16thAveS,0.0,0.5352665852062523,0.4647333300862111,8.470753665168473e-08,south
NonResidential,K-12 School,3.0,175015,95.0,6994740.5,247.85,62,WallingfordAve.N,0.0,0.3831077078556381,0.6168922206620817,7.148228020614766e-08,north
NonResidential,Hotel,24.0,126240,67.0,16163194.0,295.33,47,SixthAve,0.0,0.7550739043285628,0.2449260338024774,6.186895973314677e-08,city_center
NonResidential,Large Office,5.0,168115,78.0,9536161.0,66.48,43,PineStreet,0.0,0.9999998951359986,0.0,1.0486400137121876e-07,city_center
NonResidential,Small- and Mid-Sized Office,8.0,59400,14.0,5071974.0,35.36,106,3rdAve,0.0,0.9999998028381061,0.0,1.971618939222708e-07,city_center
NonResidential,Hotel,20.0,88591,71.0,4841347.5,59.19,86,7thAve,0.0,0.8861291200435416,0.11387077667942655,1.0327703181545189e-07,city_center
NonResidential,Hotel,34.0,847518,63.0,80469216.0,2451.58,34,6thAvenue,0.1441381757714652,0.5659994127443717,0.2898622996401506,1.1184401249586529e-07,city_center
NonResidential,Hotel,7.0,71150,98.0,5348309.0,134.38,31,PineSt,0.0,0.606528156843593,0.3934716561814211,1.869749859384484e-07,city_center
NonResidential,Hotel,7.0,122810,99.0,5401277.5,227.18,108,2ndAve,0.0,0.2394916758118797,0.7605082316174275,9.257069277790464e-08,city_center
